recette_id,unit,quantity,ingredient
2881,,,muscade
2881,,,poivre
2881,,,sel
2881,,50,beurre
2881,,50,farine
2881,cl,60,lait
2882,,,poivre
2882,,,sel
2882,cl,10,huile
2882,filet,1,vinaigre
2882,cuillère à soupe,1,moutarde de Dijon
2882,,1,jaune d'oeuf
2883,,,sel
2883,,,poivre
2883,cuillères à soupe,3,huile d'olive
2883,cuillères à soupe,2,vinaigre
2883,cuillère à café,1,moutarde
2884,,,sel
2884,,,poivre
2884,cl,12.5,huile d'olive
2884,,60,basilic frais
2884,,30,pignons
2884,gousses,3,ail
2884,,50,Parmesan
2885,,,poivre
2885,cuillère à soupe,1,sucre
2885,,9,tomates
2885,cuillères à soupe,6,huile d'olive
2885,gousses,3,ail
2885,feuilles,6,basilic
2886,cuillère à soupe,1,maïzena
2886,,,sel
2886,,,poivre
2886,grosse,1,moutarde
2886,,20,beurre
2886,cl,40,crème liquide
2886,cuillères à soupe,4,jus de citron
2886,,,herbes de Provence
2887,cl,20,bouillon de boeuf
2887,,2,feuilles de laurier
2887,,,sel
2887,,,poivre
2887,pincées,4,sucre en poudre
2887,,2,carottes
2887,,1,oignon
2887,gousses,2,ail
2887,,400,boeuf haché
2887,petite boîte,1,champignon
2887,cl,20,vin blanc
2887,bocal,1,tomates pelées
2887,petite boîte,1,double concentré de tomates
2887,,,herbes de Provence
2888,,,poivre
2888,,1,cube de bouillon
2888,,30,farine
2888,,40,beurre
2888,cuillère à soupe,1,vinaigre aromatisé à l'estragon
2889,,50,sucre en poudre
2889,,250,fraises
2889,demi,1,citron
2889,cl,10,eau
2890,,,sel
2890,,,poivre
2890,,,persil
2890,pincée,1,cumin
2890,pincée,1,piment
2890,,2,yaourts à la grecque
2890,cuillères à café,2,mayonnaise
2890,,0.5,citron
2890,cuillère à café,1,ail
2890,cuillère à café,1,échalote
2890,cuillère à café,1,herbes de Provence
2890,,,lait
2891,,,sel
2891,,,poivre
2891,cuillères à soupe,4,persil
2891,,350,beurre
2891,,48,escargots
2891,,4,échalotes
2891,gousses,2,ail
2892,,1,gros sel
2892,demi,1,bouillon de boeuf
2892,,1,sucre
2892,,1,oignon
2892,kg,1.5,tomate
2892,filet,1,huile d'olive
2892,,,basilic
2893,pincée,1,poivre
2893,pincée,1,sel
2893,filet,1,huile d'olive
2893,cuillères à soupe,4,crème fraîche
2893,,6,échalotes
2893,cl,10,vin blanc
2894,,,beurre
2894,,,fond de veau
2894,,,cognac
2894,,,sel
2894,,,poivre
2894,,,persil
2894,,,champignons de Paris
2894,cl,20,crème liquide
2894,,,ail
2895,cl,50,crème fraîche
2895,,150,roquefort
2895,verre,0.5,lait
2896,,,sel
2896,,,poivre
2896,cuillères à soupe,4,huile d'olive
2896,botte,0.5,persil
2896,bottes,2,coriandre
2896,gousses,3,ail
2896,,1,citron vert
2897,,,sel
2897,,,poivre
2897,cuillère à café,1,sucre
2897,,1,cube de bouillon
2897,kg,2,tomate
2897,boîtes,2,tomates pelées
2897,,1,oignon blanc
2897,gousse,1,ail
2897,,,herbes de Provence
2897,boîte,1,concentré de tomates
2897,,,huile d'olive
2898,,200,sucre
2898,,500,framboises
2898,cl,20,eau
2899,cuillère à café,1,sel
2899,,50,beurre doux
2899,,60,farine
2899,cl,50,lait
2899,grosse,1,muscade rapée
2900,,,sel
2900,,,poivre
2900,,200,beurre
2900,,3,jaunes d'oeuf
2900,,0.5,citron
2901,pincée,1,poivre
2901,pincée,1,sel
2901,cl,20,crème liquide
2901,,100,gruyère
2902,,,sel
2902,,,poivre
2902,,150,beurre
2902,cuillères à soupe,3,vinaigre de vin
2902,,2,jaunes d'oeuf
2902,cuillères à soupe,5,vin blanc
2902,cuillères à soupe,3,estragon
2902,,1,échalote
2903,,40,beurre
2903,cl,10,crème fraîche
2903,,1,échalote
2903,verre,0.5,vin blanc sec
2903,,0.5,citron
2904,,1,cube de bouillon
2904,,2,oignons
2904,,6,piments
2904,,6,piments
2904,,4,piments
2904,gousses,4,ail
2904,,,huile d'olive
2905,,,vinaigre
2905,cl,15,huile
2905,,,persil
2905,,1,oignon
2905,cuillère à soupe,1,ciboulette
2905,,2,échalotes
2905,cuillère à café,0.25,petit piment
2905,,1,citron
2905,,,eau
2906,cuillère à café,0.5,piment
2906,,2,clous de girofle
2906,cuillère à café,1,poivre
2906,cuillères à café,2,sel
2906,,100,sucre de canne
2906,cl,15,vinaigre
2906,,2,oignons
2906,kg,2,tomate
2906,gousses,2,ail
2907,bouquet,1,basilic frais
2907,gousses,2,ail
2907,cl,15,huile d'olive
2908,,,sel
2908,,,poivre
2908,,50,amandes
2908,,100,roquette
2908,,70,Parmesan
2908,gousse,1,ail
2908,cl,15,huile d'olive
2909,cl,10,vinaigre de vin
2909,,2,échalotes
2910,cuillère à soupe,1,vinaigre
2910,,,sel
2910,,,poivre
2910,l,0.25,huile
2910,,2,jaunes d'oeuf
2910,,,Fines herbes
2910,,1,échalote
2911,,,épices
2911,,,coriandre
2911,,,cumin
2911,,,épices
2911,pincée,1,sucre
2911,,4,tomates
2911,,2,oignons
2911,,0.5,poivron vert
2911,,0.5,poivron rouge
2911,verre,0.5,eau
2911,,1,petit piment
2911,gousse,0.5,ail
2911,,140,concentré de tomates
2911,cuillère à soupe,1,huile d'olive
2912,,,sel
2912,,,poivre
2912,cuillère à café,1,moutarde
2912,,40,beurre
2912,cl,25,crème fraîche
2912,,,ciboulette
2912,gousses,2,ail
2913,,,persil
2913,pincée,1,sel
2913,cuillère à café,1,moutarde de Dijon
2913,,1,yaourt nature
2913,cuillère à soupe,1,Condiments
2913,cuillère à soupe,1,huile d'olive
2913,cuillère à soupe,1,huile de colza
2913,,,ciboulette
2913,,,basilic
2913,,,ail
2913,,,échalote
2914,,,sel
2914,,,poivre
2914,,30,beurre
2914,,40,maïzena
2914,l,0.5,eau
2914,,,bouillon
2915,,,sel
2915,,1,yaourt nature
2915,cuillères,2,huile d'olive
2915,gousse,1,ail
2916,cuillères à soupe,4,vinaigre balsamique
2916,cuillère à soupe,1,miel
2916,cuillère à soupe,1,gingembre
2916,cuillères à soupe,2,curry
2916,,1,oignon
2916,cuillère à soupe,1,huile d'olive
2916,cl,5,crème fraîche liquide
2917,,1,cube de bouillon
2917,,15,maïzena
2917,cl,10,crème fraîche
2917,cuillères à soupe,4,madère
2917,,2,échalotes
2918,grosse,1,sel
2918,grosse,1,piment d'Espelette
2918,,,safran
2918,grosse,1,safran
2918,gousses,4,ail
2918,poignée,1,pain de campagne
2918,,1,tsuyu (bouillon au poisson volant)
2918,,1,jaune d'oeuf
2918,,,huile d'olive
2918,grosse,1,paprika
2919,,100,beurre
2919,cl,20,crème fraîche
2919,,1,citron
2920,,,sel
2920,,,poivre
2920,cuillère à soupe,1,persil
2920,cuillères à soupe,3,vinaigre
2920,grosse,1,moutarde
2920,cl,45,huile de tournesol
2920,,3,oeufs
2920,,3,cornichons
2920,cuillère à soupe,1,câpres
2920,cuillère à soupe,1,estragon
2921,,,sel
2921,cuillère à soupe,1,huile
2921,,10,sucre
2921,cuillères à soupe,4,mirin
2921,cuillères à soupe,4,sauce soja
2921,cuillères à soupe,3,saké
2922,,,sel
2922,,,poivre
2922,cuillère à café,1,moutarde
2922,,1,oeuf
2922,l,0.25,huile d'olive
2922,,,jus de citron
2923,,,sel
2923,,,poivre
2923,goutte,1,tabasco
2923,cl,50,sauce tomate
2923,,350,mayonnaise
2923,cuillères à café,2,sauce worcestershire
2923,cuillère à café,0.5,jus de citron
2924,,,sel
2924,,,poivre
2924,,,vinaigre
2924,cuillère à café,1,moutarde
2924,,2,échalotes
2924,,,crème fraîche liquide
2925,pincée,1,sucre en poudre
2925,pincée,1,poivre
2925,pincée,1,sel
2925,pincée,1,curry
2925,cl,15,crème fraîche
2925,,1,oignon
2926,,2,tomates
2926,,2,échalotes
2926,brins,20,cerfeuil
2926,brins,10,ciboulette
2926,,1,jus de citron
2926,cl,10,huile d'olive
2927,,100,tomate séchée
2927,,50,pignons
2927,,50,Parmesan
2927,gousses,2,ail
2927,cl,15,huile d'olive
2928,cuillère à soupe,1,sel
2928,,275,vinaigre de riz
2928,cuillère à soupe,1,sucre
2928,poignées,2,jalapeño
2928,,1,ail
2928,cuillère à soupe,1,sauce soja
2929,,,beurre
2929,cl,5,vinaigre
2929,,2,échalotes
2929,cl,10,vin blanc
2930,,,piment
2930,dose,1,vinaigre
2930,dose,1,sucre
2930,dose,1,nuoc mam
2930,doses,4,eau
2930,gousses,2,ail
2931,cuillères à soupe,6,huile
2931,cuillères à soupe,4,miel
2931,,1,oignon
2931,gousses,2,ail
2931,cuillères à soupe,4,sauce soja
2931,cuillères à soupe,3,massalé
2932,cuillères à soupe,6,huile d'olive
2932,cuillères à soupe,3,vinaigre balsamique
2932,,0.5,citron
2933,grosses,4,crème fraîche
2933,cuillère à café,1.5,cumin
2933,cuillère à café,1,thym
2933,cuillère à café,1.5,origan
2933,cuillère à café,1,piment de Cayenne
2933,cuillères à café,2,oignon
2933,cuillère à café,1,poivre
2933,cuillère à café,1,sel
2933,cuillères à café,2,ail
2933,cuillères à café,3,paprika
2934,gouttes,3,vanille
2934,cuillères à soupe,2,sucre
2934,cl,50,crème liquide
2935,branche,1,aneth
2935,pincée,1,sel
2935,,50,farine
2935,,50,beurre
2935,,1,citron
2935,cl,50,eau
2935,branche,1,basilic
2936,cl,50,fond de veau
2936,cl,15,vinaigre
2936,,50,beurre
2936,,100,miel
2937,pincée,1,poivre
2937,cuillères à soupe,4,miel
2937,cuillères à soupe,2,moutarde de Dijon
2937,cuillères à soupe,2,ketchup
2937,,1,citron
2937,cuillères à soupe,4,sauce soja
2938,,,sel
2938,,,poivre
2938,morceau,1,sucre
2938,cuillères à soupe,3,huile
2938,cuillère à soupe,1,origan
2938,,2,feuilles de laurier
2938,,3,thym
2938,,1,oignon
2938,kg,1,tomate
2938,gousses,3,ail
2938,cuillère à café,1,concentré de tomates
2939,gousse,1,vanille
2939,morceaux,20,sucre roux
2939,bâton,1,cannelle
2939,,0.5,citron vert
2939,,3,fruits de la passion
2939,cl,10,eau
2940,,,poivre
2940,,,sel
2940,cuillères à soupe,2,farine
2940,,20,beurre
2940,cl,25,lait
2941,cuillère à café,1,sucre
2941,pincée,1,poivre
2941,pincée,1,sel
2941,,1,carotte
2941,cuillère à soupe,1,huile
2941,,1,beurre
2941,,20,crevettes
2941,,1,citron
2941,cl,20,crème liquide
2941,pincée,1,paprika
2941,gousse,1,ail
2941,,1,échalote
2941,cl,15,eau
2942,,4,oeufs
2942,tranches,4,bacon
2942,,40,Parmesan
2942,cl,20,crème liquide
2943,,,cumin
2943,verre,0.5,huile d'olive
2943,,0.75,petit piment
2943,gousses,6,ail
2944,pointe de couteau,1,piment
2944,pincée,0.5,carotte
2944,cuillères,3,vinaigre de cidre
2944,cuillères,3,sucre en poudre
2944,cuillères,6,sauce nuoc mam
2944,cuillères,18,eau
2944,,1,ail
2945,cuillère à café,1,cumin
2945,cuillère à café,1,coriandre
2945,cuillère à café,1,fenouil
2945,gousses,2,ail
2945,,100,beurre de cacahuètes
2945,cuillère à soupe,1,sirop
2945,,1,piment vert
2945,,150,crème de coco
2945,cuillères à soupe,3,jus de citron
2946,,100,sucre roux
2946,,300,fruits rouges
2947,pot,1,crème fraîche épaisse
2947,goutte,,citron vert
2948,cuillères à café,2,sel
2948,cl,30,vinaigre de xérès
2948,,400,sucre
2948,,30,gingembre
2948,,3,piments
2948,,6,mangues
2948,,100,raisins secs
2949,,2,oignons
2949,grosse,1,tomates pelées
2949,gousses,2,ail
2949,,1,brique
2949,,,herbes aromatiques
2950,cl,20,crème fraîche
2950,,50,beurre
2950,,2,échalotes
2951,,,sel
2951,,1,oignon
2951,,6,tomates
2951,cuillère à café,1,herbes de Provence
2951,gousse,1,ail
2951,cuillères à soupe,2,huile d'olive
2952,gousses,2,vanille
2952,,80,sucre
2952,cl,50,lait
2952,,4,jaunes d'oeuf
2953,,,beurre
2953,,,poivre
2953,,,sel
2953,,2,échalotes
2953,cl,20,crème
2953,bouquet,1,oseille
2953,cl,25,vin blanc
2953,,1,court-bouillon
2953,,,eau
2954,,,sel
2954,,,poivre
2954,branches,5,aneth
2954,cuillères à soupe,2,crème fraîche
2954,cuillère à soupe,1,jus de citron
2955,cl,15,crème fraîche
2955,cuillères à soupe,2,farine
2955,,25,beurre
2955,cl,20,lait
2955,,80,bleu
2955,,50,fromage de chèvre
2956,,20,beurre
2956,,250,comté
2956,,1,échalote
2956,,150,morilles
2956,cl,100,crème liquide
2957,,,poivre
2957,,,sel
2957,,,persil
2957,cuillère à café,0.5,oignon
2957,cuillère à café,0.5,aneth
2957,,200,yaourt à la grecque
2957,cuillères à soupe,4,mayonnaise
2957,cuillère à café,0.5,ail
2957,,1,échalote
2957,,,ciboulette
2958,,10,beurre
2958,,300,girolles
2958,,150,crème épaisse
2958,,1,échalote
2959,,0.5,chorizo
2959,,0.5,chorizo
2959,,2,échalotes
2959,cl,40,crème semi-épaisse
2959,cl,5,vin blanc
2960,,,poivre
2960,,1,bouillon de boeuf
2960,cuillères à café,2,sucre en poudre
2960,,1,oignon
2960,,2,carottes
2960,,400,boeuf haché
2960,,700,tomates pelées
2960,,1,navet
2960,gousses,2,ail
2960,petite boîte,1,champignon
2960,cuillères à soupe,6,double concentré de tomates
2960,cl,20,vin blanc
2960,cuillères à café,2,herbes de Provence
2960,cuillère à café,1,huile d'olive
2961,,,sel
2961,cl,15,fond de veau
2961,,1,beurre
2961,bouteille,0.5,vin rouge
2961,,1,poivre
2961,,60,échalote
2961,,1,noisettes
2962,cl,10,crème fraîche
2962,cuillère à soupe,1,sucre
2962,,250,chocolat pâtissier
2962,verre,0.5,lait
2963,,,sel
2963,,,poivre
2963,cuillère à soupe,1,persil
2963,,75,beurre
2963,,0.5,échalote
2963,,0.5,citron
2964,cuillères,4,sucre
2964,cuillère,1,curry
2964,cuillères,6,arachide
2964,,300,lait de coco
2964,cuillères,2,sauce nuoc mam
2965,,,sel
2965,,,poivre
2965,,,tabasco
2965,,0.5,poivron rouge
2965,cuillère à café,1,huile d'olive
2965,,1,oignon
2965,gousse,1,ail
2965,,1,échalote
2965,cl,12.5,vin blanc sec
2965,boîte,1,tomates pelées
2965,cuillère à café,1,basilic frais
2966,cuillère à café,1,maïzena
2966,,,sel
2966,,,poivre
2966,,1,oignon
2966,,10,farine
2966,,20,beurre
2966,,30,champignon
2966,cuillères à soupe,2,madère
2966,cl,15,bouillon de volaille
2966,cl,10,crème liquide
2967,,,sel
2967,botte,1,persil
2967,cl,20,tahiné
2967,,1,citron
2967,gousses,4,ail
2968,,,sel
2968,,,poivre
2968,,,huile d'olive
2968,,8,tomates
2968,gousses,4,ail
2968,,2,échalotes
2968,,,basilic frais
2969,,,sel
2969,,,poivre
2969,morceau,1,beurre
2969,barquette,1,tagliatelles fraîches
2969,,1,citron
2969,,1,vin blanc sec
2969,,1,crème
2970,pincées,2,sel
2970,pincée,1,poivre
2970,filet,1,vinaigre
2970,cuillère à soupe,1,moutarde
2970,cl,20,huile d'olive
2970,,2,jaunes d'oeuf
2970,gousses,5,ail
2971,,,poivre
2971,pincée,1,sel
2971,,,thym
2971,l,0.5,huile de tournesol
2971,,15,petit piment
2971,l,0.5,huile d'olive
2971,,,basilic
2971,,,laurier
2972,cuillère à café,0.5,sel
2972,cuillère à café,1,cumin
2972,cuillère à café,1,muscade
2972,cuillère à café,1,persil
2972,cuillère à café,1,coriandre
2972,cuillère à café,1,paprika
2972,cuillère à café,1,ail
2973,cuillère à soupe,1,crème fraîche
2973,,3,poivrons rouges
2973,,,huile d'olive
2973,,,ail
2974,,,sel
2974,,,poivre
2974,,40,poivron vert
2974,,40,poivron rouge
2974,cl,2,huile
2974,,200,tomate
2974,cl,25,mayonnaise
2974,gousse,1,ail
2974,,20,échalote
2974,,1,bouquet garni
2975,,,poivre
2975,,,sel
2975,cl,40,fond de veau
2975,cl,10,vin rouge
2975,filet,1,huile
2975,,20,beurre
2975,,3,échalotes
2976,,,sel
2976,,,poivre
2976,cuillère à café,1,moutarde
2976,gouttes,4,huile de sésame
2976,cuillère à café,1,vinaigre de cidre
2976,cuillères à café,2,miel d'acacia
2976,cuillère à café,1,sucre
2976,cuillères à café,6,huile d'olive
2976,,1,oeuf
2977,cuillère à café,1,moutarde
2977,cuillère à café,1,miel
2977,cuillère à soupe,1,vinaigre
2977,cuillères à soupe,2,huile d'olive
2978,cuillère à soupe,1,huile de sésame
2978,cuillère à soupe,1,jus de citron
2978,cuillère à soupe,1,sauce soja
2979,,,sel
2979,,,poivre
2979,,25,beurre
2979,,25,farine
2979,,3,lait
2979,,100,fromage
2979,,,crème
2980,,,sel
2980,,,poivre
2980,cuillères à soupe,3,huile d'olive
2980,,1,crème fraîche
2980,,,herbes de Provence
2981,,100,sucre glace
2981,,,jus de citron
2981,,2,café
2982,pincée,1,poivre
